Job Title,Company Name,Location,Meta-info,Link
"Engineer, Distribution",EPCOR,"Hybrid remote in Edmonton, AB",Full-time,indeed.com/rc/clk?jk=6ec4bf2dd337638b&mtk=1gvamvdaokom6801&from=serp
Electrical Project Engineer,Ketek Group Inc.,"Edmonton, AB",Full-time +1,indeed.com/rc/clk?jk=26c57f34fada7657&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D0%26l%3Dedmonton&mtk=1gvamvdaokom6801&from=serp
Electrical Engineer,All Type Electric Inc.,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=2b0d7067a051d677&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D0%26l%3Dedmonton&mtk=1gvamvdaokom6801&from=serp
electrical engineer,AE INDUSTRIES INC,"Edmonton, AB",$46 an hour,indeed.com/rc/clk?jk=a9f5ca91a329c0f9&mtk=1gvamvdaokom6801&from=serp
Junior Electrical and Controls Engineer,Shermco Industries,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=ed295d247a6c1656&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D0%26l%3Dedmonton&mtk=1gvamvdaokom6801&from=serp
JR.ELECTRICAL/COMPUTER ENGINEER,BP Automation,"Edmonton, AB",$26-$32 an hour,indeed.com/rc/clk?jk=483e4158f786612c&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D0%26l%3Dedmonton&mtk=1gvamvdaokom6801&from=serp
electrical engineering technician,MODERN GENERAL CONTRACTORS LTD,"Edmonton, AB",$38 an hour,indeed.com/rc/clk?jk=00d37302f265aa22&mtk=1gvamvdaokom6801&from=serp
Junior Electrical Designer,Stantec,"Edmonton, AB",Full-time +2,indeed.com/rc/clk?jk=036f18de17d23b73&mtk=1gvamvdaokom6801&from=serp
Senior Electrical Engineer,Capital Engineering,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=28a88e92f0227230&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D0%26l%3Dedmonton&mtk=1gvamvdaokom6801&from=serp
ELECTRICAL ENGINEERING COMMISSIONING LEAD,Air Products,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=bf74bdfedff574ba&mtk=1gvamvdaokom6801&from=serp
Electrical Intern - Energy (Summer 2023),Stantec,"Edmonton, AB",Full-time +3,indeed.com/rc/clk?jk=51afb5bcaa0863f6&mtk=1gvamvdaokom6801&from=serp
Home Network Engineer II,TELUS,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=00631f0e299e58eb&mtk=1gvamvdaokom6801&from=serp
"Engineer/Technologist, Electrical",Sherritt International,"Fort Saskatchewan, AB",Full-time,indeed.com/rc/clk?jk=662e708d2096e5cd&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D0%26l%3Dedmonton&mtk=1gvamvdaokom6801&from=serp
Electrical/Power Systems Technician,Pembina Pipeline Corporation,"Sherwood Park, AB",N/A,indeed.com/rc/clk?jk=4537ccc076b91b2b&mtk=1gvamvdaokom6801&from=serp
Control Engineer,Orion Engineering Inc.,"Remote in Edmonton, AB",From $45 an hour,indeed.com/rc/clk?jk=a6ce5b61e8787dff&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D0%26l%3Dedmonton&mtk=1gvamvdaokom6801&from=serp
Pipeline Operations Engineer,Suncor Energy,"Sherwood Park, AB",Full-time,indeed.com/rc/clk?jk=14aca4bef8facf4b&mtk=1gvamvdsekc1d801&from=serp
Power Systems Consultant - Transient Analysis (Remote-Canada),Siemens,"Remote in Edmonton, AB",Full-time,indeed.com/rc/clk?jk=4c3ffea1b68a2f71&mtk=1gvamvdsekc1d801&from=serp
Utilities Engineer,City of Edmonton,"Hybrid remote in Edmonton, AB","$75,966-$108,522 a year",indeed.com/rc/clk?jk=1798d92b887e4b70&mtk=1gvamvdsekc1d801&from=serp
Electrical Engineering Technician,Magga Engineering Corporation,"Edmonton, AB",$35.38 an hour,indeed.com/rc/clk?jk=c97ef58d8369d824&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D10%26l%3Dedmonton&mtk=1gvamvdsekc1d801&from=serp
Electrical Metering Technician,Carma Corp. Utility Submetering and Billing...,"Hybrid remote in Edmonton, AB",From $27 an hour,indeed.com/rc/clk?jk=19061822a52b6041&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D10%26l%3Dedmonton&mtk=1gvamvdsekc1d801&from=serp
Technology Analyst,Vanmok Leak Detection Technologies Inc,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=54fd5fc77cf07259&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D10%26l%3Dedmonton&mtk=1gvamvdsekc1d801&from=serp
Application Engineer,Schneider Electric,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=d0b768bfb9e9f4be&mtk=1gvamvdsekc1d801&from=serp
September 2023 Electrical Engineering Co-op,Atco Ltd.,"Edmonton, AB",Full-time +1,indeed.com/rc/clk?jk=91f199f23413c53a&mtk=1gvamvdsekc1d801&from=serp
Electrical Engineering Technician,Wchh Construction Services Inc,"Edmonton, AB",$35.50 an hour,indeed.com/rc/clk?jk=62ca2f145ae8ddc7&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D10%26l%3Dedmonton&mtk=1gvamvdsekc1d801&from=serp
Instrumentation & Controls Engineer,GHD,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=b577962642acc343&mtk=1gvamvdsekc1d801&from=serp
Electrical Engineer in Training - Co-op Student - Edmonton,Magna IV Engineering,"Edmonton, AB",Full-time +1,indeed.com/rc/clk?jk=140e596451113d2b&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D10%26l%3Dedmonton&mtk=1gvamvdsekc1d801&from=serp
Intermediate Electrical Engineer,Kleinfelder Inc,"Hybrid remote in Edmonton, AB",Full-time,indeed.com/rc/clk?jk=518154055f62e0ce&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D10%26l%3Dedmonton&mtk=1gvamvdsekc1d801&from=serp
Electrical Designer,PB Tec,"Edmonton, AB",$25-$45 an hour,indeed.com/rc/clk?jk=8ee86600fd70faa9&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D10%26l%3Dedmonton&mtk=1gvamvdsekc1d801&from=serp
Electrical Engineer - Senior,BBA,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=2b9ad891a767d7fd&mtk=1gvamvdsekc1d801&from=serp
Electrical EIT,Kleinfelder Inc,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=abcf6481c79138e5&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D10%26l%3Dedmonton&mtk=1gvamvdsekc1d801&from=serp
Electrical Engineer - EIT,BBA inc.,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=e5abc186f74f4a2b&mtk=1gvamvdsekc1d801&from=serp
Electrical Engineer,Federation Engineering,"Hybrid remote in Edmonton, AB",Full-time +1,indeed.com/rc/clk?jk=2675bcfe36725856&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D10%26l%3Dedmonton&mtk=1gvamvdsekc1d801&from=serp
2nd Class Shift Engineer/Supervisor,Celanese International Corporation,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=65876b7c7ce39578&mtk=1gvamvdsekc1d801&from=serp
"Senior Engineer, Electrical Protection & Control - Edmonton",Magna IV Engineering,"Remote in Edmonton, AB",Full-time +1,indeed.com/rc/clk?jk=da607270e3a3b209&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D10%26l%3Dedmonton&mtk=1gvamvdsekc1d801&from=serp
Control Systems Lead,JLL,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=6eaa0f226f6feffd&mtk=1gvamvdsekc1d801&from=serp
Electrical Engineering Technologist,Edmonton Airports,"Edmonton, AB",From $49.01 an hour,indeed.com/rc/clk?jk=4c3304c0e461e668&mtk=1gvamvdsekc1d801&from=serp
